8.340590404927714E-8,
7.12860135954401E-5,8.340590404927714E-8,
2.6607064115715932E-5,8.340590404927714E-8,2.6607064115715932E-5,
4.20946295730774E-5,8.340590404927714E-8,4.20946295730774E-5,2.6607064115715932E-5,
3.086642631314453E-8,3.086642631314453E-8,3.086642631314453E-8,3.086642631314453E-8,3.086642631314453E-8,
1.5695732994382366E-7,8.340590404927714E-8,1.5695732994382366E-7,4.517811155630795E-8,1.5695732994382366E-7,3.086642631314453E-8,
9.779951088766724E-5,8.340590404927714E-8,7.12860135954401E-5,2.6607064115715932E-5,4.20946295730774E-5,3.086642631314453E-8,7.945334831919916E-8,
5.296889104456734E-5,8.340590404927714E-8,5.296889104456734E-5,2.6607064115715932E-5,4.20946295730774E-5,3.086642631314453E-8,1.5695732994382366E-7,5.296889104456734E-5,
2.598655207737374E-6,8.340590404927714E-8,2.598655207737374E-6,2.598655207737374E-6,2.598655207737374E-6,3.086642631314453E-8,1.5695732994382366E-7,2.598655207737374E-6,2.598655207737374E-6,
1.6036179446620615E-5,8.340590404927714E-8,1.6036179446620615E-5,1.6036179446620615E-5,1.6036179446620615E-5,3.086642631314453E-8,1.2253544499913002E-7,1.6036179446620615E-5,1.6036179446620615E-5,2.598655207737374E-6,
7.928956661223683E-5,8.340590404927714E-8,7.12860135954401E-5,2.6607064115715932E-5,4.20946295730774E-5,3.086642631314453E-8,2.843529554096603E-6,7.928956661223683E-5,5.296889104456734E-5,2.598655207737374E-6,1.6036179446620615E-5,
8.622178051819923E-5,8.340590404927714E-8,7.12860135954401E-5,2.6607064115715932E-5,4.20946295730774E-5,3.086642631314453E-8,1.5695732994382366E-7,8.622178051819923E-5,5.296889104456734E-5,2.598655207737374E-6,1.6036179446620615E-5,7.928956661223683E-5,
9.779951088766724E-5,8.340590404927714E-8,7.12860135954401E-5,2.6607064115715932E-5,4.20946295730774E-5,3.086642631314453E-8,1.5695732994382366E-7,1.6742004275391753E-4,5.296889104456734E-5,2.598655207737374E-6,1.6036179446620615E-5,7.928956661223683E-5,8.622178051819923E-5,
5.461446395400254E-8,5.461446395400254E-8,5.461446395400254E-8,6.021535255960766E-9,5.461446395400254E-8,3.086642631314453E-8,6.673190874716866E-8,1.5938132831662692E-9,5.461446395400254E-8,5.461446395400254E-8,2.4179842225798014E-8,1.0867643840220014E-5,5.461446395400254E-8,5.461446395400254E-8,
2.569390416238506E-7,8.340590404927714E-8,2.569390416238506E-7,1.3203892936766364E-7,2.569390416238506E-7,3.086642631314453E-8,3.89055030613149E-8,1.7435099526659275E-7,2.569390416238506E-7,2.569390416238506E-7,2.2168918501398851E-7,1.2560188944854459E-6,2.569390416238506E-7,2.569390416238506E-7,1.593188581640702E-7,
4.625049064725334E-8,4.625049064725334E-8,4.625049064725334E-8,1.5181962675696034E-8,4.625049064725334E-8,3.086642631314453E-8,7.808494366859562E-8,2.016909467832588E-11,4.625049064725334E-8,4.625049064725334E-8,1.6921716386135748E-8,1.3113112024492253E-5,4.625049064725334E-8,4.625049064725334E-8,1.2809070054213404E-9,1.7276341202207435E-7,
3.607648220667549E-6,8.340590404927714E-8,3.607648220667549E-6,3.607648220667549E-6,3.607648220667549E-6,3.086642631314453E-8,5.297191598554531E-8,3.607648220667549E-6,3.607648220667549E-6,2.598655207737374E-6,3.607648220667549E-6,3.607648220667549E-6,3.607648220667549E-6,3.607648220667549E-6,2.280416224166059E-9,1.4222800826639813E-7,8.241690440352368E-9,
9.779951088766724E-5,8.340590404927714E-8,7.12860135954401E-5,2.6607064115715932E-5,4.20946295730774E-5,3.086642631314453E-8,1.5695732994382366E-7,1.0342330262626945E-4,5.296889104456734E-5,2.598655207737374E-6,1.6036179446620615E-5,7.928956661223683E-5,8.622178051819923E-5,1.0342330262626945E-4,5.461446395400254E-8,2.569390416238506E-7,4.625049064725334E-8,3.607648220667549E-6,
9.779951088766724E-5,8.340590404927714E-8,7.12860135954401E-5,2.6607064115715932E-5,4.20946295730774E-5,3.086642631314453E-8,1.5695732994382366E-7,1.1423349479220817E-4,5.296889104456734E-5,2.598655207737374E-6,1.6036179446620615E-5,7.928956661223683E-5,8.622178051819923E-5,1.1423349479220817E-4,5.461446395400254E-8,2.569390416238506E-7,4.625049064725334E-8,3.607648220667549E-6,1.0342330262626945E-4,
9.779951088766724E-5,8.340590404927714E-8,7.12860135954401E-5,2.6607064115715932E-5,4.20946295730774E-5,3.086642631314453E-8,9.449424128329619E-7,2.1729682882619308E-4,5.296889104456734E-5,2.598655207737374E-6,1.6036179446620615E-5,7.928956661223683E-5,8.622178051819923E-5,1.6742004275391753E-4,4.350821744574373E-6,3.1642730423179575E-7,5.315445612977089E-6,3.607648220667549E-6,1.0342330262626945E-4,1.1423349479220817E-4,
9.779951088766724E-5,8.340590404927714E-8,7.12860135954401E-5,2.6607064115715932E-5,4.20946295730774E-5,3.086642631314453E-8,7.676531288595895E-8,2.1729682882619308E-4,5.296889104456734E-5,2.598655207737374E-6,1.6036179446620615E-5,7.928956661223683E-5,8.622178051819923E-5,1.6742004275391753E-4,1.0093198850978135E-9,1.7122615064693853E-7,1.9082536139738326E-11,3.607648220667549E-6,1.0342330262626945E-4,1.1423349479220817E-4,2.3713540783605814E-4,
9.779951088766724E-5,8.340590404927714E-8,7.12860135954401E-5,2.6607064115715932E-5,4.20946295730774E-5,3.086642631314453E-8,3.8158168901841264E-8,2.1729682882619308E-4,5.296889104456734E-5,2.598655207737374E-6,1.6036179446620615E-5,7.928956661223683E-5,8.622178051819923E-5,1.6742004275391753E-4,5.914895556601514E-7,1.986415565837741E-9,7.649735498106628E-7,3.607648220667549E-6,1.0342330262626945E-4,1.1423349479220817E-4,3.024803435814273E-4,2.3713540783605814E-4,
