0.3305778795423976,
0.23252535634560156,0.27407507419615323,
0.18669478379961638,0.19951204178428378,0.171957059354292,
0.2323476925237,0.23401570199760033,0.2746267431364243,0.18699828913847444,
0.13600831318653706,0.15699580074620006,0.11108358702952198,0.08824373570575206,0.09899774859990955,
0.24206203149839428,0.2671965058513373,0.43946129449352284,0.1696720532984224,0.2784596807712235,0.11754079003052355,
0.18551520391121767,0.19731314052745297,0.16788415819184038,0.6222219978854246,0.18324880110789202,0.08899179118082394,0.1675805045778578,
0.18155154118695024,0.1909876219056813,0.1638563313710725,0.6137537118723922,0.18013546588836382,0.08617417219714917,0.16174448864640684,0.6126451113779773,
0.23138776121172977,0.2897789868950381,0.24411110638596456,0.1977446833734543,0.23600817493859147,0.11383554916697851,0.23129600261751382,0.19478351972620128,0.1893324965690744,
0.24114602959737402,0.26424158563901373,0.44247558272040743,0.17032002187692305,0.28499971220700804,0.11927607500103433,0.7246605328889498,0.16830780287976,0.16304847620149124,0.23065996148799064,
0.24313082925579851,0.26583037591557274,0.44636433838549877,0.17012899996865136,0.2815365794392724,0.11641891427786405,0.7370534925354735,0.16775852059151788,0.1615989282435171,0.23368283508839133,0.7341558270768065,
0.2394719260966824,0.26244425909499536,0.4403494196179932,0.16787961153621958,0.27983248134161853,0.11654213361053936,0.7365042101414525,0.16598262572311878,0.1597256064011366,0.22854565727994644,0.7308037668519591,0.7453061485011861,
0.30614509198059175,0.3565037642650337,0.29614856430247405,0.24186454534813848,0.42998018290695067,0.14326442726673513,0.2868509878530075,0.2412314016224275,0.23222159964511674,0.28986325199797186,0.287432598203586,0.28904096777238975,0.28437508952604434,
0.25579624531211265,0.28266893030859,0.21733891512058004,0.22276380140462396,0.20546106546990853,0.18719757532534997,0.20907485371275517,0.22520439132872092,0.21782537502584498,0.23441360877666734,0.21079500359271433,0.2114098364156172,0.2057246926331794,0.29163693737534974,
0.24082517616918755,0.44773321775670594,0.23586560237110754,0.17865329418503448,0.19748985527386503,0.1620103368093869,0.22171200481859787,0.17658210410268424,0.17286259070614943,0.27560331898274204,0.21814196015694523,0.2216219592677153,0.2199252105723832,0.30380739913795746,0.2669794621810578,
0.18237743106846904,0.19746003166962234,0.1353794356245446,0.13757633687135173,0.13914926279725096,0.14381447844105533,0.14191131515132585,0.1374183371675948,0.13405656075399278,0.16419396829855923,0.14326106953977868,0.14141978973947272,0.14127690354519098,0.1934947393140608,0.19080688601992396,0.18724321396977298,
0.25874904500825174,0.37181516054568425,0.23920320657007393,0.1827926063413683,0.20948962145042385,0.1691419828850884,0.23044538389349462,0.18184824874133124,0.1783116851847877,0.27446294196459725,0.22803132233701012,0.2325163528354052,0.228661867451719,0.32292113830352787,0.2939355559253504,0.37651590187044676,0.2343947313447461,
0.2355900148413555,0.23799719927988602,0.28309298339124805,0.18786692893209933,0.6429015728439699,0.100198194482237,0.2832066419434772,0.18462897552978907,0.18078170204423036,0.23800123652838573,0.28723822148754086,0.2878180278973673,0.2824287077354489,0.4340547653693947,0.21095636600664322,0.20030840509596853,0.1399033494525968,0.21149861434964218,
